,latitude,longitude
33300697,44.9950831,-93.2267685
33300705,44.992357,-93.224115
33300706,44.910665,-93.258812
33300707,44.908876,-93.258812
33300711,44.915218,-93.363548
33300712,44.915676,-93.363548
33300718,44.9358142,-93.2191103
33300719,44.99691,-93.224159
33300720,44.995108,-93.2241119
33300724,44.916546,-93.485321
33300729,44.9159435,-93.4862679
33300819,44.9378251,-93.2191089
33300822,44.9331682,-93.467182
33300826,44.915894,-93.483177
33300828,44.9786927,-93.3389006
33300834,44.82267,-93.267143
33300835,44.8226483,-93.268379
33300844,44.9548541,-93.3533315
33300849,44.9134355,-93.3714313
33300850,44.9396383,-93.2178416
33300851,44.992371,-93.222816
33300852,44.913994,-93.363564
33300856,44.9951198,-93.2228362
33300858,44.9091449,-93.3742234
33300863,44.9232314,-93.323997
33300868,44.9234713,-93.3239916
33300904,44.87664,-93.4049613
33300908,44.921528,-93.323997
33300909,44.922989,-93.325294
33300914,44.8782571,-93.4049769
33300918,44.9092625,-93.374893
33300933,44.921527,-93.322715
33300936,44.8483792,-93.3625376
33300948,44.8782008,-93.4003544
33300950,44.9233425,-93.322723
33300977,44.869091,-93.289764
33301001,44.823769,-93.346397
33301008,44.879662,-93.48674
33301021,44.879642,-93.486328
33301036,44.9980407,-93.2879902
33301038,44.9991392,-93.2880045
33301039,44.83712,-93.292404
33301044,45.001247,-93.490067
33301206,45.00182,-93.49073
33301228,44.865502,-93.291
33301415,44.8764398,-93.3634278
33301446,44.875641,-93.363419
33301461,45.002544,-93.490807
33301475,44.936337,-93.421028
33301479,45.0019,-93.489494
33301985,44.9228308,-93.425615
33301999,44.910667,-93.26075
33302002,44.910667,-93.261375
33302088,44.9116307,-93.2979682
33302132,44.9123324,-93.29799
33302217,44.814957,-93.327065
33302218,44.9338261,-93.4469688
33302240,44.9347871,-93.4469442
33302246,44.974398,-93.263241
33302250,44.817101,-93.323158
33302255,44.955933,-93.40641
33302274,44.939121,-93.432175
33302305,44.892517,-93.266563
33302308,44.93861,-93.434021
33302335,44.8942891,-93.2665559
33302336,44.8942856,-93.2677919
33302338,44.939953,-93.433495
33302341,44.89611,-93.260334
33302378,44.8943028,-93.2615969
33302379,44.896107,-93.261563
33302403,44.96056,-93.402954
33302438,44.87748,-93.364334
33302442,45.0032369,-93.3988512
33302448,44.826366,-93.315674
33302454,44.9380703,-93.4763713
33302458,44.937157,-93.476456
33302459,44.825752,-93.319054
33302477,44.938179,-93.475166
33302495,44.811092,-93.373772
33302497,44.811661,-93.373756
33302503,44.91972,-93.322708
33302514,44.921526,-93.321438
33302518,44.92512,-93.321426
33302522,44.926899,-93.321411
33302526,44.8102901,-93.3737744
33302543,44.8169139,-93.2919632
33302544,44.8264207,-93.3232313
33302545,44.826389,-93.319038
33302547,44.923332,-93.321442
33302550,44.796867,-93.375244
33302551,44.796818,-93.375992
33302584,44.8970379,-93.3789049
33302813,44.8977348,-93.3788887
33302821,44.934669,-93.451591
33302822,44.934709,-93.450033
33302825,44.9358721,-93.4480662
33302826,44.935829,-93.447151
33302842,44.9740011,-93.2654341
33302843,44.9755549,-93.2659739
33302851,44.974967,-93.264599
33302852,44.8661324,-93.4066536
33302857,44.9730589,-93.2662475
33302859,44.972084,-93.267052
33302865,44.8686127,-93.4067586
33302875,44.972474,-93.2648849
33302878,44.8993663,-93.3801567
33302879,44.976892,-93.2629958
33302890,44.8989964,-93.3798868
33302912,44.9198799,-93.480608
33302919,44.898067,-93.380173
33302920,44.9736268,-93.2675933
33302921,44.9745779,-93.2667953
33302923,44.8776421,-93.362404
33302947,44.87624,-93.384842
33302957,44.875889,-93.383591
33302961,44.977459,-93.264328
33302990,45.0008627,-93.3387504
33302992,45.0008587,-93.3392708
33302995,44.8863303,-93.4096612
